[Name];#N;#S;#C;#T;#E;#I;1;2;3;4;5;6;7;Complexity
Sys**************************;2;2;0;1;0;1;-;-;-;-;-;-;-;0
MK4***************;2;2;0;1;1;0;-;-;-;-;-;-;-;0,5
AS3************;12;12;0;13;12;1;-;-;-;-;-;-;-;1
The**********;23;23;0;42;27;15;-;-;-;-;+;-;-;1,173913
LRF****;7;7;0;10;5;5;-;-;-;-;+;-;-;0,714286
Cam***;26;26;0;50;34;16;-;-;-;-;-;-;-;1,307692
SKB*********;11;11;0;20;10;10;-;-;-;-;-;-;-;0,909091
GSA**********;25;25;0;55;26;29;-;+;-;-;-;-;-;1,04
GSA*********************;11;11;0;14;11;3;-;-;-;-;-;-;-;1
TLU**********;10;10;0;13;10;3;-;-;-;-;-;-;-;1
Tes**************;4;4;0;7;5;2;-;-;-;-;-;-;-;1,25
SKB**********;11;11;0;11;11;0;-;-;-;-;+;-;-;1
IRD********;6;6;0;9;6;3;-;-;-;-;-;-;-;1
IRD************;13;13;0;24;14;10;-;-;-;-;-;-;-;1,076923
VTB************;42;42;0;98;46;52;-;-;-;-;-;-;-;1,095238
VTB************;5;5;0;8;5;3;-;-;-;-;-;-;-;1
VTB*************;8;8;0;10;8;2;-;-;-;-;-;-;-;1
VTB***************;5;5;0;8;5;3;-;-;-;-;-;-;-;1
VTB*****************;6;6;0;7;5;2;-;-;-;-;-;-;-;0,833333
VTB***************;7;7;0;11;8;3;-;-;-;-;-;-;-;1,142857
VTB*****************;7;7;0;15;7;8;-;-;-;-;+;-;-;1
VTB*****************;7;7;0;14;8;6;-;-;-;-;-;-;-;1,142857
VTB*************;13;13;0;24;16;8;-;-;-;-;-;-;-;1,230769
ATS****;26;26;0;63;30;33;-;-;-;-;-;-;-;1,153846
ATS***********;34;34;0;51;29;22;-;-;+;-;-;-;-;0,852941
ATS*****;8;8;0;16;6;10;-;-;-;-;-;-;-;0,75
ATS*********;26;26;0;65;30;35;-;-;-;-;-;-;-;1,153846
ATS**************;10;10;0;9;8;1;-;-;-;-;-;-;-;0,8
ATS**************;11;11;0;16;10;6;-;-;-;-;-;-;-;0,909091
Gps***;4;4;0;5;5;0;-;-;-;+;-;-;-;1,25
Son********;6;6;0;6;6;0;-;-;-;+;-;-;-;1
NME*******;10;10;0;57;9;48;-;-;+;-;-;-;-;0,9
ATS**************;18;17;1;16;14;2;-;-;-;-;-;-;-;0,823529
ATS*********;30;30;0;78;39;39;-;-;-;-;-;-;-;1,3
ATS**********;8;8;0;14;6;8;-;-;-;-;-;-;-;0,75
ATS****************;30;30;0;75;33;42;-;-;-;-;-;-;-;1,1
ATS******;11;11;0;16;10;6;-;-;-;-;-;-;-;0,909091
HIS***********;7;7;0;27;9;18;-;-;-;-;-;-;-;1,285714
HIS*****************;3;3;0;8;2;6;-;-;-;-;-;-;-;0,666667
Her****************;47;44;3;328;78;250;-;-;-;-;-;-;-;1,772727
Her**************;8;8;0;27;21;6;+;-;-;-;-;-;-;2,625
Her***********;20;20;0;65;34;31;-;-;-;+;+;-;+;1,7
Her*****************;12;12;0;24;18;6;-;-;-;+;-;-;-;1,5
SKG**********;9;9;0;18;9;9;-;-;-;-;-;-;-;1
SKG******************;5;5;0;7;5;2;-;-;-;-;-;-;-;1
SKG******************;5;5;0;7;5;2;-;-;-;-;-;-;-;1
TBI********;8;8;0;10;7;3;-;-;-;-;-;-;-;0,875
TBI**************;3;3;0;6;3;3;-;-;-;-;-;-;-;1
Gun*************;27;26;1;80;34;46;-;+;+;-;-;-;-;1,307692
Can*************;33;33;0;67;44;23;-;-;+;-;-;-;-;1,333333
Can**************;39;38;1;74;51;23;-;-;-;-;-;-;-;1,342105
Can**********;2;2;0;2;1;1;-;-;-;-;-;-;-;0,5
Can*************;11;11;0;18;11;7;-;-;-;-;-;-;-;1
PMP**********;36;36;0;98;51;47;-;-;-;-;-;-;-;1,416667
PMP*******;5;5;0;13;5;8;-;-;-;+;-;-;-;1
ATS**************;11;11;0;10;8;2;-;-;-;-;-;-;-;0,727273
ATS*********;30;30;0;77;41;36;-;-;-;-;-;-;-;1,366667
ATS**********;8;8;0;12;6;6;-;-;-;-;-;-;-;0,75
ATS****************;26;26;0;72;30;42;-;-;-;-;-;-;-;1,153846
SPO**********;8;8;0;13;4;9;-;-;-;-;-;-;-;0,5
SPO*******;5;5;0;4;4;0;-;-;-;-;-;-;-;0,8
SPO****************;2;2;0;1;1;0;-;-;-;-;-;-;-;0,5
NME*************;4;4;0;5;3;2;-;-;-;-;-;-;-;0,75
BAM***********;4;4;0;7;4;3;-;-;-;-;-;-;-;1
BAM****************;5;5;0;7;5;2;-;-;-;-;-;-;-;1
BAM********;7;7;0;9;8;1;-;-;-;-;-;-;-;1,142857
BAM*****************;2;2;0;1;1;0;-;-;-;-;-;-;-;0,5
VEC************;4;4;0;9;4;5;-;-;-;-;-;-;-;1
VEC*********;6;6;0;5;5;0;-;-;-;-;-;-;+;0,833333
VEC******************;2;2;0;1;1;0;-;-;-;-;-;-;-;0,5
LAG************;5;5;0;7;6;1;-;-;-;-;-;-;-;1,2
LAG*****************;5;5;0;7;5;2;-;-;-;-;-;-;-;1
Tes**********;16;16;0;10;9;1;-;-;-;-;+;-;-;0,5625
Tes***************;5;5;0;6;5;1;-;-;-;-;-;-;-;1
